,0
1503,24.36
1504,24.73
1505,24.94
1506,25.04
1507,24.85
1508,24.83
1509,24.89
1510,25.19
1511,25.17
1512,25.13
1513,25.1
1514,25.16
1515,24.97
1516,25.05
1517,24.86
1518,24.75
1519,24.61
1520,24.58
1521,24.39
1522,24.41
1523,24.56
1524,24.79
1525,24.78
1526,24.93
1527,24.28
1528,23.73
1529,24.26
1530,24.84
1531,25.72
1532,26.59
1533,26.44
1534,26.13
1535,26.13
1536,26.13
1537,26.37
1538,25.93
1539,25.97
1540,26.02
1541,26.22
1542,25.81
1543,26.01
1544,25.89
1545,26.0
1546,26.01
1547,26.21
1548,26.24
1549,26.7
1550,26.76
1551,27.0
1552,26.92
1553,27.07
1554,27.05
1555,27.03
1556,26.95
1557,26.93
1558,26.83
1559,27.07
1560,27.21
1561,26.6
1562,26.34
1563,26.17
1564,26.12
1565,25.65
1566,25.68
1567,25.4
1568,25.17
1569,25.53
1570,25.69
1571,25.64
1572,24.93
1573,25.08
1574,24.45
1575,24.77
1576,25.44
1577,25.43
1578,25.45
1579,25.84
1580,25.86
1581,25.72
1582,25.85
1583,25.8
1584,25.78
1585,25.56
1586,25.32
1587,25.42
1588,25.23
1589,25.43
1590,25.68
1591,25.93
1592,26.35
1593,26.2
1594,26.64
1595,26.64
1596,26.79
1597,26.82
1598,26.98
1599,27.05
1600,27.07
1601,26.89
1602,26.95
1603,27.12
1604,27.0
1605,27.0
1606,26.79
1607,26.86
1608,26.83
1609,26.97
1610,27.27
1611,27.52
1612,27.55
1613,27.7
1614,27.58
1615,27.53
1616,27.75
1617,27.75
1618,27.7
1619,27.75
1620,27.77
1621,27.75
1622,28.19
1623,28.2
1624,28.2
1625,28.13
1626,28.07
1627,29.78
1628,29.73
1629,29.85
1630,30.13
1631,30.42
1632,30.54
1633,30.76
1634,30.69
1635,30.96
1636,31.36
1637,31.48
1638,31.44
1639,31.52
1640,31.75
1641,31.85
1642,31.71
1643,31.74
1644,31.81
1645,31.82
1646,32.47
1647,32.28
1648,32.47
1649,32.37
1650,32.41
1651,32.29
1652,32.21
1653,32.32
1654,32.33
1655,32.28
1656,32.63
1657,32.68
1658,32.52
1659,32.86
1660,32.48
1661,32.85
1662,32.73
1663,32.67
1664,32.72
1665,33.4
1666,33.48
1667,33.43
1668,33.37
1669,33.38
1670,33.63
1671,33.45
1672,33.37
1673,33.29
1674,33.26
1675,32.9
1676,32.94
1677,32.76
1678,32.94
1679,32.8
1680,32.68
1681,33.09
1682,33.05
1683,33.36
1684,33.57
1685,33.37
1686,33.4
1687,33.37
1688,34.05
1689,34.26
1690,34.16
1691,34.04
1692,34.6
1693,35.54
1694,35.77
1695,35.6
1696,35.91
1697,36.41
1698,36.31
1699,36.26
1700,35.04
1701,35.58
1702,35.7
1703,35.92
1704,35.87
1705,35.76
1706,35.89
1707,35.83
1708,35.84
1709,35.63
1710,35.73
1711,36.26
1712,35.9
1713,36.02
1714,36.24
1715,36.15
1716,34.75
1717,33.92
1718,34.19
1719,33.86
1720,33.65
1721,33.18
1722,34.13
1723,33.82
1724,34.02
1725,33.97
1726,34.12
1727,34.01
1728,33.52
1729,34.01
1730,33.51
1731,33.59
1732,33.47
1733,33.61
1734,33.29
1735,33.63
1736,33.83
1737,33.94
1738,33.99
1739,34.47
1740,34.76
1741,34.88
1742,35.0
1743,35.22
1744,35.06
1745,35.05
1746,35.47
1747,35.62
1748,35.79
1749,35.12
1750,34.87
1751,34.69
1752,35.0
1753,36.65
1754,36.28
1755,36.48
1756,37.04
1757,37.34
1758,37.56
1759,36.37
1760,36.87
1761,37.43
1762,37.84
1763,37.69
1764,36.96
1765,36.88
1766,36.81
1767,37.41
1768,37.46
1769,37.29
1770,37.43
1771,37.81
1772,38.15
1773,38.25
1774,38.4
1775,38.41
1776,37.95
1777,37.91
1778,37.76
1779,37.14
1780,37.82
1781,37.67
1782,37.38
1783,37.06
1784,37.44
1785,37.15
1786,37.17
1787,36.54
1788,35.92
1789,35.57
1790,35.25
1791,35.86
1792,36.11
1793,35.89
1794,36.09
1795,36.01
1796,36.17
1797,35.94
1798,36.38
1799,36.36
1800,36.49
1801,36.5
1802,36.66
1803,36.53
1804,36.76
1805,37.44
1806,37.57
1807,37.41
1808,36.52
1809,36.59
1810,36.57
1811,36.79
1812,36.62
1813,36.86
1814,38.18
1815,39.04
1816,39.58
1817,39.08
1818,39.36
1819,40.39
1820,40.8
1821,40.93
1822,41.27
1823,41.18
1824,41.05
1825,40.88
1826,40.26
1827,39.73
1828,40.21
1829,39.98
1830,39.94
1831,40.69
1832,41.11
1833,41.12
1834,40.91
1835,40.67
1836,39.83
1837,40.38
1838,40.2
1839,39.9
1840,39.86
1841,39.72
1842,39.79
1843,39.8
1844,40.58
1845,40.35
1846,40.48
1847,40.47
1848,40.88
1849,41.46
1850,41.02
1851,40.97
1852,41.13
1853,41.13
1854,40.08
1855,40.09
1856,40.2
1857,39.77
1858,40.48
1859,40.47
1860,40.66
1861,41.12
1862,40.97
1863,40.97
1864,40.96
1865,41.19
1866,41.61
1867,41.4
1868,42.09
1869,42.12
1870,41.94
1871,41.59
1872,41.6
1873,40.94
1874,40.21
1875,40.3
1876,39.47
1877,39.24
1878,39.34
1879,39.43
1880,37.72
1881,36.77
1882,38.31
1883,37.49
1884,36.46
1885,36.91
1886,38.39
1887,38.78
1888,39.49
1889,40.82
1890,40.68
1891,40.55
1892,40.36
1893,40.7
1894,41.41
1895,42.23
1896,42.09
1897,42.03
1898,41.29
1899,41.58
1900,41.72
1901,41.69
1902,41.3
1903,41.75
1904,42.47
1905,42.88
1906,42.46
1907,42.1
1908,42.15
1909,42.0
1910,41.36
1911,41.35
1912,40.41
1913,39.84
1914,38.92
1915,40.77
1916,39.72
1917,39.28
1918,39.59
1919,39.33
1920,39.73
1921,40.49
1922,40.77
1923,39.73
1924,40.12
1925,40.88
1926,40.69
1927,41.09
1928,41.23
1929,41.48
1930,42.06
1931,41.96
1932,40.77
1933,39.1
1934,38.99
1935,38.45
1936,38.61
1937,38.75
1938,38.3
1939,38.99
1940,39.9
1941,41.66
1942,41.74
1943,43.37
1944,43.69
1945,43.9
1946,44.21
1947,44.84
1948,44.67
1949,44.57
1950,44.16
1951,44.57
1952,44.29
1953,44.13
1954,44.44
1955,44.33
1956,44.62
1957,44.57
1958,44.67
1959,44.51
1960,44.41
1961,44.26
1962,45.06
1963,45.44
1964,45.79
1965,45.95
1966,45.82
1967,45.41
1968,45.29
1969,45.54
1970,45.17
1971,45.19
1972,44.73
1973,44.71
1974,43.98
1975,44.17
1976,43.93
1977,43.8
1978,43.15
1979,43.68
1980,43.62
1981,43.94
1982,43.85
1983,44.34
1984,43.56
1985,43.91
1986,44.52
1987,45.14
1988,45.09
1989,44.5
1990,45.25
1991,45.32
1992,45.22
1993,45.35
1994,45.1
1995,45.45
1996,45.34
1997,45.38
1998,45.71
1999,46.15
2000,46.0
2001,45.24
2002,44.98
2003,45.07
2004,47.73
2005,49.12
2006,49.26
2007,49.52
2008,49.06
2009,49.09
2010,49.48
2011,49.33
2012,49.65
2013,49.86
2014,49.97
2015,50.7
2016,51.72
2017,51.21
2018,51.11
2019,51.12
2020,51.22
2021,51.38
2022,51.8
2023,52.22
2024,53.0
2025,53.49
2026,54.11
2027,54.28
2028,53.93
2029,53.03
2030,52.6
2031,51.9
2032,53.21
2033,52.55
2034,53.82
2035,53.2
2036,51.79
2037,51.87
2038,51.9
2039,52.3
2040,51.74
2041,52.48
2042,52.81
2043,52.39
2044,53.47
2045,53.66
2046,54.02
2047,54.5
2048,55.16
2049,54.19
2050,53.31
2051,53.19
2052,53.93
2053,51.43
2054,50.97
2055,52.79
2056,51.66
2057,52.8
2058,52.57
2059,51.35
2060,52.13
2061,52.45
2062,52.94
2063,51.13
2064,52.24
2065,51.41
2066,50.45
2067,50.7
2068,52.02
2069,52.82
2070,49.32
2071,47.92
2072,48.43
2073,49.9
2074,49.73
2075,48.77
2076,46.31
2077,45.85
2078,44.56
2079,45.66
2080,46.16
2081,44.33
2082,42.21
2083,42.17
2084,41.09
2085,41.65
2086,41.56
2087,43.16
2088,42.83
2089,42.6
2090,44.08
2091,42.14
2092,41.67
2093,40.19
2094,40.45
2095,40.22
2096,40.33
2097,40.78
2098,39.47
2099,39.1
2100,39.61
